Timestamp (ms),MQ-3 Voltage,MQ-4 Voltage,MQ-8 Voltage,CO2 (ppm),Temperature (C),Humidity (%)
2025-05-16 23:36:13.454,1.07675,0.49575,1.0605,1093,32.12176699473564,42.92973220416571
2025-05-16 23:36:13.595,1.07775,0.494875,1.04875,-1,-1,-1
2025-05-16 23:36:13.725,1.075625,0.497,1.0518750000000001,-1,-1,-1
2025-05-16 23:36:13.857,1.073625,0.494875,1.06175,-1,-1,-1
2025-05-16 23:36:13.989,1.0775000000000001,0.4955,1.061125,-1,-1,-1
2025-05-16 23:36:14.119,1.076625,0.49475,1.052875,-1,-1,-1
2025-05-16 23:36:14.249,1.074625,0.49562500000000004,1.049375,-1,-1,-1
2025-05-16 23:36:14.381,1.07575,0.4955,1.05075,-1,-1,-1
2025-05-16 23:36:14.512,1.074625,0.496,1.04925,-1,-1,-1
2025-05-16 23:36:14.644,1.078375,0.49525,1.0502500000000001,-1,-1,-1
2025-05-16 23:36:14.774,1.0785,0.494875,1.054375,-1,-1,-1
2025-05-16 23:36:14.906,1.075,0.49525,1.062375,-1,-1,-1
2025-05-16 23:36:15.040,1.073625,0.497,1.061625,-1,-1,-1
2025-05-16 23:36:15.170,1.08125,0.49412500000000004,1.058125,-1,-1,-1
2025-05-16 23:36:15.304,1.07775,0.493375,1.05875,-1,-1,-1
2025-05-16 23:36:15.440,1.0785,0.49425,1.051375,-1,-1,-1
2025-05-16 23:36:15.578,1.07825,0.494375,1.047125,-1,-1,-1
2025-05-16 23:36:15.716,1.076125,0.49262500000000004,1.054,-1,-1,-1
2025-05-16 23:36:15.852,1.074125,0.492875,1.057625,-1,-1,-1
2025-05-16 23:36:15.990,1.066,0.494,1.046375,-1,-1,-1
2025-05-16 23:36:16.128,1.077,0.4925,1.04925,-1,-1,-1
2025-05-16 23:36:16.264,1.07475,0.493,1.042,-1,-1,-1
2025-05-16 23:36:16.399,1.0698750000000001,0.49375,1.04725,-1,-1,-1
2025-05-16 23:36:16.528,1.06775,0.49562500000000004,1.04075,-1,-1,-1
2025-05-16 23:36:16.663,1.070625,0.4935,1.053,-1,-1,-1
2025-05-16 23:36:16.793,1.069125,0.497125,1.044375,-1,-1,-1
2025-05-16 23:36:16.927,1.076375,0.49475,1.0555,1070,31.65178912031739,43.8300144960708
